date,building,gallons
2026-06-10,Main Building,5647.4
2026-06-10,Gym,1728.1
2026-06-10,Cafeteria,2577.5
2026-06-11,Main Building,5213.5
2026-06-11,Gym,2012.6
2026-06-11,Cafeteria,2905.8
2026-06-12,Main Building,4910
2026-06-12,Gym,2025.5
2026-06-12,Cafeteria,2721.4
2026-06-13,Main Building,5606.5
2026-06-13,Gym,1882.4
2026-06-13,Cafeteria,2761.4
2026-06-16,Main Building,4945.8
2026-06-16,Gym,1986.1
2026-06-16,Cafeteria,3060.6
2026-06-17,Main Building,5703.2
2026-06-17,Gym,1913
2026-06-17,Cafeteria,2759.7
2026-06-18,Main Building,5066.1
2026-06-18,Gym,1941.4
2026-06-18,Cafeteria,2562.6
