date,building,kwh
2026-05-02,Science Wing,470
2026-05-05,Main Building,882.9
2026-05-05,Gym,259
2026-05-05,Science Wing,456.2
2026-05-06,Main Building,993.2
2026-05-06,Gym,308.3
2026-05-06,Science Wing,443.4
2026-05-07,Main Building,933.1
2026-05-07,Gym,267.8
2026-05-07,Science Wing,458.9
2026-05-08,Main Building,946.8
2026-05-08,Gym,262.8
2026-05-08,Science Wing,470.1
2026-05-09,Main Building,844.6
2026-05-09,Gym,299.9
2026-05-09,Science Wing,429.3
2026-05-12,Main Building,991.8
2026-05-12,Gym,281.3
2026-05-12,Science Wing,504.8
2026-05-13,Main Building,951.8
2026-05-13,Gym,248.1
2026-05-13,Science Wing,466.7
2026-05-14,Main Building,834.7
2026-05-14,Gym,265.8
2026-05-14,Science Wing,456.3
2026-05-15,Main Building,859.7
2026-05-15,Gym,251.9
2026-05-15,Science Wing,1250
2026-05-16,Main Building,920.5
2026-05-16,Gym,257.9
2026-05-16,Science Wing,432.6
2026-05-19,Main Building,915.1
2026-05-19,Gym,251.9
2026-05-19,Science Wing,465.3
2026-05-20,Main Building,804.3
2026-05-20,Gym,306.2
2026-05-20,Science Wing,447.7
2026-05-21,Main Building,792.1
2026-05-21,Gym,252.5
2026-05-21,Science Wing,492.2
2026-05-22,Main Building,882.6
2026-05-22,Gym,313.4
2026-05-22,Science Wing,533.7
2026-05-23,Main Building,931.6
2026-05-23,Gym,264.9
2026-05-23,Science Wing,457.8
2026-05-26,Main Building,873.2
2026-05-26,Gym,281.6
2026-05-26,Science Wing,501.3
2026-05-27,Main Building,978.8
2026-05-27,Gym,307.3
2026-05-27,Science Wing,459
2026-05-28,Main Building,858.7
2026-05-28,Gym,253.1
2026-05-28,Science Wing,493
2026-05-29,Main Building,854.6
2026-05-29,Gym,262.9
2026-05-29,Science Wing,528
2026-05-30,Main Building,952.1
2026-05-30,Gym,250.8
2026-05-30,Science Wing,445.4
2026-06-02,Main Building,886.4
2026-06-02,Gym,303.7
2026-06-02,Science Wing,428.8
2026-06-03,Main Building,915
2026-06-03,Gym,308.9
2026-06-03,Science Wing,527.9
2026-06-04,Main Building,899.8
2026-06-04,Gym,286
2026-06-04,Science Wing,479.4
2026-06-05,Main Building,887.8
2026-06-05,Gym,249.5
2026-06-05,Science Wing,518.4
2026-06-06,Main Building,914.6
2026-06-06,Gym,313.3
2026-06-06,Science Wing,513.5
2026-06-09,Main Building,826.5
2026-06-09,Gym,285.9
2026-06-09,Science Wing,505.9
2026-06-10,Main Building,1700
2026-06-10,Gym,277.6
2026-06-10,Science Wing,505.9
2026-06-11,Main Building,1006.5
2026-06-11,Gym,305.4
2026-06-11,Science Wing,443.5
2026-06-12,Main Building,970.3
2026-06-12,Gym,262.3
2026-06-12,Science Wing,425.5
2026-06-13,Main Building,875.1
2026-06-13,Gym,247.4
2026-06-13,Science Wing,482.5
2026-06-16,Main Building,928.8
2026-06-16,Gym,274.9
2026-06-16,Science Wing,502.9
2026-06-17,Main Building,890
2026-06-17,Gym,267.9
2026-06-17,Science Wing,484.5
2026-06-18,Main Building,884.8
2026-06-18,Gym,250.8
2026-06-18,Science Wing,457.2
